date,ANG,AUD,AWG,BBD,BMD,BRL,BSD,CAD,CHF,CNY,CYP,CZK,DKK,EEK,EUR,FKP,GBP,GRD,HKD,HUF,IDR,IEP,INR,ISK,JPY,KPW,KRW,LKR,LTL,LVL,MTL,MXN,MYR,NOK,NZD,PAB,PHP,PLN,RON,RUB,SAR,SEK,SGD,SHP,SIT,SKK,THB,TRY,TWD,USD,VEF,ZAR,ARS,DZD,HRK,ILS,MAD,XDR,XPF,AED,ALL,BDT,BGN,BHD,BIF,BND,BOB,BTN,BWP,BZD,CLP,COP,CRC,CVE,DJF,DOP,EGP,ETB,FJD,GIP,GMD,GNF,GTQ,GYD,HNL,HTG,IQD,IRR,JMD,JOD,KES,KHR,KMF,KWD,KZT,LAK,LBP,LSL,LYD,MMK,MNT,MOP,MRO,MUR,MVR,MWK,NAD,NGN,NIO,NPR,OMR,PEN,PGK,PKR,PYG,QAR,SBD,SCR,SLL,SOS,SVC,SYP,SZL,TND,TOP,TTD,TZS,UAH,UGX,VND,VUV,WST,XAF,XCD,XOF,ZMK,ZWD,AMD,BYR,CDF,GEL,KGS,MDL,MKD,RWF,STD,TJS,UZS,YER,UYU,LRD,AOA,MGA,AFN,AZN,BAM,GHS,MZN,RSD,SDG,SRD,TMT,CLF,BTC,CUP,JEP,KYD,ZWL,ERN,XAG,XAU,ZMW,GGP,IMP,CUC,BYN,XPD,XPT,CNH,MRU,SSP,STN,VES
1999-01-15,1.787029,1.578608,1.787029,2.0,1,1.473715,1.0,1.528871,1.37733,8.2745,0.49894,30.760295,6.400356,13.406885,0.862776,0.605427,0.605576,278.252147,7.748836,217.330572,8968.642557,0.678508,42.513298,69.463781,113.807527,900.0,1182.752265,68.55,4.008369,0.569125,0.380088,10.377357,3.799703,7.493378,1.853298,1.0,38.651397,3.609963,1.137878,22.782919,3.75087,7.870013,1.681248,0.605427,161.188014,36.594154,36.87191,0.322382,32.233585,1,0.570992,6.09618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-14,1.79,1.499955,1.79,2.0,1,1.804999,1.0,1.449872,1.587126,8.275556,0.56509,35.251229,7.306083,15.357071,0.985103,0.610106,0.610468,325.104059,7.778804,249.548895,7137.163069,0.769017,43.519502,72.069536,105.73317,900.0,1124.598429,73.35,4.000685,0.584841,0.40765,9.45732,3.800094,7.971359,1.918007,1.0,40.531702,4.074817,1.83245,28.482005,3.75072,8.450141,1.675172,0.610106,196.530831,41.313094,37.494034,0.540517,30.842978,1,0.651903,6.072806,1.000269,68.740023,7.590824,4.087128,10.01495,0.728704,116.705819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-15,1.79,1.806105,1.79,2.0,1,1.948974,1.0,1.502133,1.632163,8.273524,0.613215,37.294433,7.898319,16.631262,1.058222,0.676678,0.677018,,7.799502,280.348134,9609.211922,0.831123,46.544513,84.843021,118.645646,2.198664,1284.861036,85.007849,4.000742,0.616356,0.434935,9.905951,3.8005,8.678533,2.248443,1.0,52.258059,4.107976,2.632557,28.339149,3.749975,9.381942,1.735284,0.676678,228.697021,46.41216,43.497724,0.669358,32.699806,1,0.699307,7.872085,0.999505,72.621429,8.076898,4.121098,10.605855,0.755211,126.571595,3.672595,141.926177,54.354794,2.081685,0.376485,741.824353,1.735893,6.440284,46.558549,5.538821,2.0,572.343985,2263.431952,319.995757,116.951633,177.721,16.120834,3.884814,8.249894,2.190709,0.670238,15.901464,1855.345779,7.825095,180.534578,15.134387,23.003606,1970.311837,1755.324565,45.157934,0.70999,78.82357,3835.659737,521.815868,0.305403,145.322444,7601.272804,1514.63981,6.240454,0.540093,6.519835,1098.1014,8.033629,257.965634,28.052079,11.77,47.495969,7.837399,111.104158,12.90157,74.365719,0.384497,3.519251,3.390857,59.105249,3562.282563,3.64,5.163131,6.355537,1899.427238,2620.492151,8.756576,46.201739,7.544442,1.376538,1.996394,6.2505,808.071701,5.433602,1840.029699,14579.338142,142.160585,3.028214,695.754137,2.709336,695.754137,2880.250318,55.206513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-15,1.79,1.927788,1.79,2.0,1,2.363541,1.0,1.590466,1.662805,8.276769,0.648431,36.161602,8.334993,17.576677,1.125977,0.692645,0.69253,,7.798956,272.544027,10258.459426,0.881061,48.184734,102.555481,131.172784,2.173392,1314.216486,92.962856,3.998767,0.631809,0.451708,9.173851,3.799614,8.905942,2.363298,1.0,51.100607,4.039117,3.214814,30.351435,3.749765,10.352082,1.825494,0.692645,245.0335,47.859019,43.775886,1.37109,34.920292,1,0.757095,11.654145,1.616661,76.482403,8.34805,4.496881,11.477079,0.784409,133.749944,3.67246,139.06187,56.562766,2.180719,0.376555,854.152656,1.808911,6.777572,47.669469,6.662161,2.0,664.876161,2250.06573,338.329971,123.584398,177.721,16.764555,4.576181,8.348162,2.24805,0.687504,17.289733,1946.245236,7.883995,178.323246,15.747926,25.933759,3071.4,1728.894867,46.483188,0.7089,78.186377,3858.058731,551.409998,0.305307,148.857879,7508.350146,1504.953015,11.67328,0.633856,6.673728,1088.704326,8.03243,266.283345,29.865277,11.77,66.409213,11.846111,113.619144,13.719682,75.802399,0.384497,3.382927,3.632807,59.527769,4727.14638,3.64,5.690675,5.550112,1912.586864,2588.321004,8.644676,45.452813,11.674625,1.451188,2.169435,6.2505,889.125757,5.247445,1723.81753,14830.497646,146.214683,3.538659,735.212957,2.667474,735.212957,4000.840619,54.783681,558.205559,1546.189195,312.213629,2.045024,47.521744,12.706344,68.778749,449.10334,8848.699843,2.520511,1723.81753,170.971755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-15,1.79,1.711419,1.79,2.0,1,3.301954,1.0,1.538305,1.386698,8.275843,0.549822,30.238176,7.048024,14.82906,0.94761,0.62483,0.6246,,7.799253,222.933954,8934.312893,0.773044,47.961315,80.030401,118.104238,2.210792,1175.446978,96.88613,3.280258,0.585218,0.397227,10.480934,3.799968,6.921556,1.860708,1.0,53.515052,3.81864,3.365712,31.90343,3.749765,8.692336,1.733868,0.62483,219.835799,39.093344,42.694849,1.668397,34.490237,1,1.700728,8.766008,3.271507,78.506698,7.107546,4.835773,10.131342,0.73877,113.368516,3.67246,133.535056,58.287194,1.856071,0.3765,1040.110203,1.737646,7.564231,48.136424,5.451188,2.0,714.500381,2927.998478,381.467794,104.752043,177.721,20.49734,4.630822,8.340652,2.024064,0.625349,23.112103,1969.66559,7.617357,194.955349,17.023276,36.17737,3124.27,7979.156375,51.15058,0.7093,77.091267,3931.217937,467.383622,0.299952,156.975109,10652.251568,1511.774871,8.803211,1.213979,6.286063,1131.512445,8.033041,263.528406,28.287954,11.77,86.330325,8.803211,129.33593,14.644689,76.879156,0.384497,3.491397,3.956014,58.211842,7114.307429,3.64,7.629745,5.64524,2019.741592,2632.699981,8.792922,51.749952,8.801767,1.340253,2.22776,6.2505,992.808284,5.357401,1866.386211,15483.66901,130.664084,3.180401,622.130518,2.709481,623.177845,4548.444329,55.333921,592.910887,1929.488885,374.32833,2.120445,46.427133,13.917063,58.297929,513.3403,9063.404902,3.014611,1864.022421,178.754513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-15,1.79,1.296937,1.79,2.0,1,2.817075,1.0,1.294399,1.241459,8.275686,0.464345,25.788374,5.9032,12.398116,0.794207,0.548134,0.548488,,7.763427,210.720051,8372.369561,0.7106,45.448367,69.829838,106.161829,2.200089,1187.205603,97.407268,2.733043,0.534199,0.342142,10.852783,3.800452,6.785372,1.483339,1.0,55.517313,3.753067,3.245704,28.885463,3.749765,7.27154,1.69546,0.548134,187.849363,32.37402,39.032017,1.336081,33.683425,1,1.598732,7.226917,2.891704,71.997203,6.108861,4.427957,8.791548,0.668709,94.44535,3.67246,113.827387,58.950201,1.547816,0.3765,1059.84667,1.695653,7.7995,45.528026,4.433036,2.0,570.562954,2723.067237,418.499315,87.267115,177.721,34.993976,6.165028,8.545781,1.72213,0.547724,30.062456,2003.364231,8.039168,178.050171,17.638389,40.861085,3109.21,8305.678031,60.635325,0.7088,76.227016,3968.297066,389.369213,0.294742,141.262101,10443.722344,1514.488252,7.180315,1.252032,5.689699,1119.9962,7.996093,264.226741,25.73835,11.77,105.989124,7.180315,140.007441,15.219995,72.96084,0.384497,3.45989,3.271244,57.230804,6038.138511,3.64,7.326513,5.177307,2447.316135,2617.957872,8.750564,52.323853,7.181447,1.20958,2.036975,6.2505,1054.152253,5.334745,1940.874819,15641.863705,110.794089,2.850786,520.314298,2.670865,519.158686,4685.184697,809.383024,554.513216,2165.797244,374.479336,2.154367,42.332639,13.120424,48.566996,553.618726,8690.253228,2.783146,972.935747,177.913227,29.357739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-14,1.79,1.317618,1.79,2.0,1,2.707039,1.0,1.214941,1.182087,8.275578,0.446301,23.154209,5.680366,11.970789,0.763115,0.534889,0.534925,,7.795831,188.226946,9145.889716,0.699744,43.617638,62.768314,102.328916,2.199656,1043.029377,97.067402,2.637537,0.534415,0.329386,11.241247,3.800158,6.247682,1.431679,1.0,55.79391,3.103353,2.88992,28.007118,3.749975,6.909637,1.637671,0.534889,182.417709,29.494746,38.71408,1.351389,31.904799,1,1.916399,6.030743,2.948101,72.266157,5.734144,4.362487,8.481832,0.656307,91.053114,3.672395,96.433764,59.963843,1.494053,0.3765,1069.275338,1.638588,8.042272,43.61512,4.441186,1.99,569.181875,2333.059077,460.642868,84.227332,177.721,29.005639,5.930392,8.648303,1.661963,0.535411,29.3012,2821.163506,7.767823,178.530041,18.636083,36.251548,1462.582171,8836.36697,61.385708,0.70901,77.7516,3850.588588,375.806279,0.291973,129.954135,10836.378199,1514.623595,6.034111,1.268231,5.584169,1212.154098,8.027287,260.338898,28.306812,12.285,108.452045,6.034111,132.62451,16.196406,70.647798,0.384497,3.264363,3.056467,59.467226,6249.254698,3.64,7.247002,5.471898,2405.813712,3109.256993,8.751746,52.197753,6.032269,1.229399,1.929033,6.23775,1071.999687,5.307698,1716.497667,15770.478497,107.089767,2.715098,500.683097,2.69786,500.683097,4767.29552,5652.4271,484.160678,2177.768383,429.303738,1.822711,40.998165,12.465066,46.875258,555.485972,9058.867084,2.784995,1061.48499,184.212216,25.758992,47.006115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-16,1.785,1.326614,1.79,2.0,1,2.283255,1.0,1.159976,1.276854,8.068717,0.475658,23.766077,6.157366,12.955456,0.825142,0.564513,0.565478,,7.753045,206.592243,9442.698488,0.724057,44.186918,61.212021,114.801784,2.200008,983.627073,102.170126,2.850727,0.577404,0.354553,10.566177,3.743673,6.644487,1.432004,1.0,52.522809,3.145063,3.00173,28.368744,3.750105,7.69969,1.632312,0.564513,198.642717,30.902514,39.628475,1.334668,31.942065,1,2.15,5.992769,3.057074,73.180322,6.099625,4.610503,9.032672,0.691399,99.311765,3.67265,102.939109,66.332494,1.608994,0.37635,985.761448,1.649438,8.000297,44.211647,5.306748,1.98,525.304447,2272.229753,498.343307,91.035337,177.721,34.325291,5.728731,8.724836,1.7083,0.565859,28.650549,4307.582183,7.635146,190.011143,18.894131,42.404301,1469.66032,9100.175405,63.478734,0.70875,71.977031,4005.49754,406.182299,0.291956,133.260142,10777.415456,1504.52926,6.044969,1.327806,6.51,1229.006555,7.996171,278.275562,30.576198,12.8,123.875439,6.019486,129.250392,16.771783,71.255933,0.384497,3.450758,3.025465,59.812114,6122.516405,3.64,7.164438,5.41776,2377.506292,1680.003294,8.75017,52.210161,6.043941,1.335722,2.04407,6.25175,1186.000239,5.087515,1813.627221,15901.044171,110.950367,2.726023,547.960547,2.69005,542.463052,3232.503918,92527.889696,456.017169,2154.959697,441.258254,1.800693,41.201618,12.840068,50.664135,546.598756,7235.032398,2.78501,1144.707728,194.487786,24.230644,49.001857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-15,1.7825,1.275762,1.79025,2.0,1,2.137627,1.0,1.168376,1.247014,7.793193,0.447795,21.473779,5.761334,12.123831,0.773308,0.509755,0.5092,,7.799158,195.038657,9108.976426,0.70323,44.282433,70.311413,120.488787,169.927309,938.835751,108.370605,2.668109,0.541073,0.33187,10.947616,3.508525,6.440378,1.440208,1.0,48.877789,2.989954,2.615177,26.644392,3.7504,7.021495,1.54205,0.509755,,26.867248,35.93602,1.427637,32.760927,1,2.15,7.215278,3.074487,71.561614,5.661972,4.212051,8.56476,0.670273,92.381059,3.67275,94.646263,69.951102,1.505639,0.3765,1000.919648,1.542137,7.980889,44.257143,6.264938,1.9925,539.162801,2208.927095,516.696407,85.203616,177.721,33.615618,5.701916,8.790905,1.67701,0.508809,28.01368,5563.342447,7.667331,189.967015,18.9175,37.568501,1318.8414,9221.772313,66.673083,0.7088,69.589102,4013.348474,380.162275,0.289044,125.085552,9702.633336,1509.838828,7.239564,1.275104,6.51,1162.499127,8.032551,268.766743,33.342864,12.8,138.642749,7.218564,128.27011,17.888384,70.182834,0.384497,3.187586,2.922481,60.892862,5246.08295,3.64,7.294149,5.443635,2974.662619,1377.635121,8.750386,52.981082,7.237842,1.309016,2.075657,6.2505,1274.709736,5.065004,1806.794108,16023.96229,106.690037,2.766638,499.763883,2.684609,507.316388,4244.396728,251.217115,446.351957,2142.173936,485.437263,1.713054,38.079612,12.986798,47.418592,549.040014,6674.279484,3.213066,1240.336914,195.749799,27.052293,48.978934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-15,1.7825,1.118032,1.79025,2.0,1,1.743074,1.0,1.015628,1.090768,7.240337,,17.421711,5.009122,10.492928,0.673732,0.508648,0.508567,,7.797841,170.648924,9430.991485,0.663472,39.213139,64.053473,107.167164,142.463914,935.539844,108.244874,2.319495,0.470645,,10.917055,3.258143,5.281881,1.281216,1.0,40.459966,2.400779,2.490387,24.353391,3.74995,6.32407,1.428728,0.508648,,22.472563,29.768239,1.15216,32.213059,1,2.1473,6.789172,3.139105,67.148269,4.93795,3.70004,7.644404,0.62719,80.506856,3.67275,81.091533,68.41289,1.313862,0.37625,1085.311247,1.484231,7.576234,39.157502,5.971547,1.9875,472.082997,1953.589381,494.784827,74.070939,177.721,33.765646,5.461134,9.0707,1.529016,0.508196,24.761346,4294.508962,7.677424,202.537764,18.905,37.344495,1214.146163,9260.489174,71.517372,0.7092,67.616461,3959.073515,330.490394,0.272774,120.447801,9284.478013,1507.153383,6.81726,1.220396,6.51,1170.117489,8.021873,246.18709,28.18038,12.7975,139.799589,6.758205,122.805964,18.3278,66.628139,0.384497,3.004574,2.737999,62.45349,4922.798758,3.64,7.168679,7.990636,2950.188822,1340.181269,8.751905,51.056865,6.818872,1.19616,1.927936,6.2505,1150.258476,5.057496,1701.864636,15964.981537,94.249916,2.587586,473.376822,2.667895,440.351812,3707.748322,29998.479524,303.090299,2149.196702,539.796912,1.590292,34.116616,11.141524,41.222894,544.579671,14068.401309,3.470467,1290.769851,198.649937,27.059923,61.780128,74.837194,1776.998993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-15,1.7875,1.513038,1.79025,2.0,1,2.377894,1.0,1.25373,1.123475,6.837134,,20.807231,5.687348,12.015583,0.761755,0.683706,0.683994,,7.761344,214.02947,11219.029266,0.699882,48.849201,128.363023,89.54442,142.428405,1383.348801,113.852994,2.638747,0.537679,,14.161529,3.593313,7.183556,1.865515,1.0,47.383218,3.232404,3.28363,32.456777,3.75035,8.365204,1.496906,0.683706,,,34.875811,1.61826,33.38491,1,2.1473,10.130865,3.451425,71.867808,5.6252,3.87927,8.479588,0.662101,90.598663,3.673,95.411252,68.365832,1.494701,0.3765,1130.943614,1.51616,7.00778,48.638851,8.007803,1.9875,625.119348,2251.156198,552.231895,84.265953,177.721,35.347904,5.517929,9.673056,1.803415,0.685212,26.546721,4835.964758,7.7993,202.875923,18.905,38.657171,1152.281286,9978.173711,80.504954,0.709,79.95043,4107.0824,375.978601,0.287873,121.434698,8489.977149,1502.365541,10.123566,1.278985,6.51,1324.807016,8.003138,257.855397,32.2685,12.8,142.789298,10.06455,149.363805,18.949517,73.869604,0.384497,3.004574,2.633906,78.848559,4941.994949,3.64,7.709751,16.699931,3009.947757,1414.447161,8.742523,46.048319,10.122731,1.3722,2.171667,6.263,1309.953015,8.734943,1977.047976,17479.942912,115.374775,3.064598,503.702279,2.622191,497.177269,5049.990623,15005.851281,304.752218,2654.020512,591.86472,1.664931,39.577758,10.499586,46.896752,564.092331,14361.03355,3.473172,1406.893389,200.024816,23.099965,64.657796,74.950398,1896.993519,47.068668,0.804006,1.484856,1.291391,25.430174,70.722662,2.210909,2.750017,,,,,,,,,,,,,,,,,,,,,,
2010-01-15,1.791,1.0827,1.79025,2.0,1,1.768728,1.0,1.028324,1.026472,6.827672,,18.047238,5.176319,10.887698,0.695564,0.613909,0.614426,,7.759663,185.912467,9204.811705,0.672895,45.736617,125.173117,90.86287,143.07915,1122.920315,114.210148,2.402115,0.490923,,12.700857,3.340084,5.67421,1.355571,1.0,45.836725,2.810561,2.855773,29.522526,3.750025,7.057144,1.390611,0.613909,,,32.875586,1.454811,31.799103,1,4.29465,7.405552,3.799389,72.272552,5.069846,3.680691,7.876451,0.636631,83.084566,3.67275,96.023729,69.219843,1.360662,0.376495,1138.357141,1.390488,6.972002,45.678096,6.677484,1.9875,491.723949,1964.13667,560.682446,76.709336,177.721,36.15538,5.425379,10.765057,1.874722,0.612947,26.229205,4985.809246,8.372118,203.516622,18.9225,40.00648,1153.686994,9908.11246,88.879403,0.708875,75.876635,4158.195819,342.262418,0.286462,148.101803,8476.765758,1505.745892,7.399922,1.233101,6.51,1454.502428,8.002427,260.375092,29.300012,12.8,146.273645,7.402948,151.400022,19.32891,71.524987,0.384497,3.004574,2.692221,84.381302,4692.501287,3.64,7.903524,11.109519,3915.0008,1499.996515,8.750181,45.399996,7.398948,1.317498,1.885905,6.31525,1343.498803,8.058933,1932.5008,18460.007374,95.400056,2.570598,481.224835,2.650373,456.024835,4457.116669,15180.66886,377.468003,2838.435185,897.64735,1.706756,44.224401,12.281525,42.691248,570.637752,16356.853451,4.371803,1524.460832,205.749882,19.450012,70.523143,89.767484,2004.655886,47.91174,0.802365,1.361961,1.41738,29.99485,67.078482,2.229614,2.709532,,,,,,,,,,,,,,,,,,,,,,
2011-01-14,1.79075,1.012165,1.79025,2.0,1,1.684459,1.0,0.992355,0.965852,6.589954,,18.272376,5.581048,,0.74879,0.630565,0.630468,,7.774875,206.781799,9032.00889,0.69393,45.430631,116.14071,82.947833,142.991032,1117.038644,110.718919,2.586561,0.526145,,12.120998,3.061176,5.868863,1.303467,1.0,44.331827,2.906585,3.195735,29.918771,3.750125,6.702935,1.289092,0.630565,,,30.486367,1.553044,29.023899,1,4.29465,6.950323,3.975206,73.4965,5.544323,3.555251,8.36439,0.645898,90.296869,3.67275,103.522252,71.06378,1.46514,0.3765,1134.526085,1.288844,7.002483,45.33633,6.646227,1.9875,489.880301,1870.077212,501.162364,82.599446,177.721,37.339756,5.796381,12.716792,1.822206,0.630909,28.226627,7228.535524,7.970429,205.541801,18.92,40.234542,1178.046719,10383.75618,86.907098,0.708375,80.794812,4040.660312,368.542962,0.281132,146.891759,8070.033561,1501.53798,6.902734,1.250634,6.51,1236.7364,8.010666,283.53712,30.490626,12.8,151.07829,6.927484,153.253061,19.831721,71.202669,0.384497,2.787974,2.630779,85.59049,4661.066192,3.64,7.77682,12.598762,4188.08492,1604.683864,8.74537,47.040683,6.923433,1.439066,1.853466,6.31525,1479.710975,7.950005,2357.503944,19500.048618,94.23019,2.349064,498.745188,2.690866,491.395178,4750.00415,15180.700386,364.088621,3009.924313,907.013192,1.809107,47.357528,12.407531,45.969286,593.191152,18490.662447,4.401532,1657.517417,214.275306,19.950018,72.455476,92.580015,2085.008188,43.025065,0.7969,1.466901,1.487002,32.650101,78.512712,2.503706,2.715004,2.829301,,,,,,,,,,,,,,,,,,,,,
